"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD19","Comp-APC-Cy7-A :: CD4","Comp-AmCyan-A :: L_D","Comp-BV711-A :: CD8","Comp-FITC-A :: CD49b","Comp-PE-A :: CD45","Comp-PE-Cy7-A :: TCRb","Comp-Pacific Blue-A :: NKp46","Time"
375,339,283,46,41,289,436,220,558,230,281,730,235,236,2
203,180,289,94,88,274,548,234,321,216,230,744,232,265,5
252,218,297,111,101,281,575,251,599,237,341,697,223,238,7
673,597,289,167,148,289,485,247,616,238,390,685,235,233,8
395,362,279,121,113,275,606,237,540,230,514,726,246,248,15
341,285,306,99,87,290,499,240,472,225,377,767,249,247,21
217,191,291,64,53,311,489,219,596,243,681,703,261,230,25
181,166,279,49,46,278,427,231,647,219,294,686,240,252,27
150,133,290,74,65,291,565,240,551,216,216,738,241,249,28
365,343,273,71,69,263,541,220,508,228,320,685,235,238,34
389,352,283,71,68,268,460,223,361,231,379,696,235,247,40
578,506,292,108,100,276,492,236,459,241,453,730,244,263,41
258,238,278,60,57,271,430,238,646,237,245,629,241,238,42
234,209,286,193,174,284,506,241,493,219,518,780,255,244,43
370,341,278,72,66,277,503,221,492,220,369,732,264,245,47
329,299,282,90,86,269,579,235,551,247,407,676,302,249,48
272,237,294,76,70,276,544,251,515,229,314,663,228,222,59
499,402,318,173,150,294,539,258,467,216,424,804,241,258,60
356,327,279,87,83,268,571,229,428,231,389,702,250,240,61
242,217,285,41,40,261,502,235,505,211,176,659,257,235,64
240,215,286,103,95,277,582,220,558,245,241,704,235,245,68
437,385,290,104,95,280,424,221,586,227,367,707,238,230,75
269,248,278,85,80,272,616,229,485,260,352,677,225,228,76
349,317,282,71,64,285,559,246,582,223,303,715,234,231,76
797,689,296,150,134,286,514,228,545,229,380,785,241,266,78
320,252,325,179,154,298,572,249,616,239,330,797,245,237,79
342,316,277,61,59,265,572,228,473,231,275,702,234,239,79
807,689,300,202,144,360,518,244,670,246,600,786,269,286,80
243,225,276,75,71,270,605,217,551,241,360,698,247,229,80
206,192,275,56,52,277,416,235,711,227,259,685,224,240,80
515,431,306,143,124,294,595,251,611,235,332,645,245,235,82
380,357,272,91,85,274,547,236,571,219,258,639,225,243,86
572,497,295,147,132,285,531,228,409,249,489,772,244,239,87
326,291,286,84,80,269,479,226,588,247,399,714,245,251,87
262,230,291,92,88,270,598,226,509,235,324,700,241,244,88
247,220,287,95,88,276,565,234,565,252,398,693,249,233,90
370,335,283,184,161,292,614,219,535,246,479,809,284,253,92
305,283,276,60,56,275,552,239,484,230,339,662,235,242,99
303,273,284,71,68,267,517,216,513,234,239,690,242,218,101
205,189,277,75,68,283,615,271,538,215,387,739,226,250,101
341,316,276,63,60,267,544,237,482,232,374,691,243,237,109
586,505,297,206,170,311,508,237,417,224,300,782,254,264,111
670,548,313,195,165,302,518,243,622,239,575,757,242,267,113
373,302,316,164,142,296,545,240,627,241,476,816,271,231,118
249,229,278,109,98,284,597,223,569,226,425,703,245,228,118
345,311,284,78,73,275,547,240,551,237,395,690,238,241,121
278,245,291,107,73,375,459,230,645,247,279,664,253,265,123
292,257,291,64,59,277,536,226,463,216,426,727,230,248,123
498,422,302,167,145,295,561,233,578,214,298,811,266,229,124
211,196,275,61,56,279,521,244,525,235,211,681,217,220,126
395,337,300,131,120,279,481,245,590,231,413,749,248,251,129
239,216,282,84,80,269,516,221,482,251,283,672,223,262,131
336,302,284,93,88,271,572,224,551,225,358,700,243,232,141
341,306,285,90,83,275,457,230,492,219,198,699,236,246,141
207,189,281,127,112,289,504,231,625,248,520,756,252,258,143
296,281,269,75,69,276,565,236,475,247,340,700,220,254,144
195,175,285,98,89,281,605,233,458,219,321,731,246,235,144
362,325,285,72,68,269,453,209,515,221,397,712,239,236,145
249,229,277,114,103,281,599,228,473,221,440,680,228,266,145
275,235,300,135,122,283,437,234,480,231,477,762,243,234,147
305,273,286,101,97,266,505,222,495,227,415,699,245,244,147
230,210,280,77,73,269,437,224,362,259,383,705,244,242,156
248,222,286,75,70,274,557,243,554,237,362,691,237,221,158
267,242,283,84,79,274,542,224,536,225,227,669,253,220,158
275,250,282,84,78,275,599,223,449,217,270,691,231,246,161
258,238,277,83,79,269,537,222,430,257,224,676,233,235,161
479,437,281,82,76,276,439,232,399,242,360,642,230,240,162
243,224,278,65,61,273,598,240,550,254,389,726,266,224,165
319,294,278,77,70,280,500,238,623,228,414,678,247,232,169
297,264,288,72,70,265,527,244,487,260,365,683,246,236,173
271,256,272,66,62,271,515,240,536,218,358,661,225,246,176
225,203,283,79,72,279,489,224,548,247,284,709,221,246,177
151,118,329,102,92,286,556,242,447,236,316,681,231,242,179
350,337,266,69,63,277,547,233,387,237,324,739,252,242,179
336,311,277,91,86,270,554,242,528,243,427,697,244,248,180
169,158,274,121,103,301,514,250,530,225,455,781,243,232,182
298,277,275,57,54,272,502,243,449,229,298,713,248,249,192
199,186,274,70,64,279,475,235,597,239,329,742,255,235,195
292,265,282,81,77,270,540,231,548,263,279,693,238,239,196
231,209,283,91,84,276,600,217,476,259,365,721,247,244,196
389,364,273,71,69,265,509,210,516,253,292,699,252,231,197
251,231,278,152,138,281,561,229,555,252,401,772,235,248,198
340,310,281,79,74,274,540,246,518,231,407,656,234,247,203
284,230,315,126,113,286,560,226,391,237,278,795,260,245,203
276,256,276,73,68,272,575,222,355,218,371,705,236,240,206
610,489,319,191,159,307,536,251,626,261,453,766,277,240,208
264,239,282,82,74,281,597,226,593,213,224,832,260,243,209
393,349,288,55,51,276,423,240,547,239,315,662,228,246,211
350,324,277,72,68,272,554,251,505,231,313,684,235,249,212
