"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD19","Comp-APC-Cy7-A :: CD4","Comp-AmCyan-A :: L_D","Comp-BV711-A :: CD8","Comp-FITC-A :: CD49b","Comp-PE-A :: CD45","Comp-PE-Cy7-A :: TCRb","Comp-Pacific Blue-A :: NKp46","Time"
288,249,296,176,158,285,260,226,637,231,357,754,239,243,1
607,518,300,180,163,283,268,247,684,264,493,694,289,257,2
359,312,295,115,102,289,243,234,560,230,578,706,246,542,2
597,532,287,487,431,290,293,231,650,249,526,712,262,242,3
406,337,308,176,156,287,273,233,669,226,531,737,311,252,4
384,333,296,587,499,301,308,233,582,256,390,661,241,256,4
397,362,280,138,128,278,255,223,558,228,264,756,244,256,4
276,244,289,94,87,279,246,234,575,238,467,712,237,265,5
511,457,286,121,113,274,234,234,545,232,370,724,235,226,5
625,570,281,452,392,295,306,237,683,273,505,634,260,276,6
218,200,280,114,98,298,240,632,528,233,348,678,231,587,6
462,396,299,689,602,293,294,230,597,248,504,654,247,251,6
818,663,316,240,207,297,282,235,611,248,452,739,234,258,6
388,343,290,122,112,278,247,241,569,219,478,744,264,266,6
243,192,325,131,114,293,242,244,520,237,451,731,232,453,7
909,736,316,442,361,314,333,233,703,260,506,674,256,366,7
580,520,286,463,426,278,277,234,656,237,501,638,239,251,7
549,467,301,346,307,289,283,228,663,250,478,677,227,262,8
346,318,278,161,149,277,251,226,565,244,431,749,250,230,8
482,439,281,119,105,293,254,217,611,240,409,707,256,297,8
601,539,285,525,469,286,318,239,647,260,573,784,261,281,9
781,681,294,220,194,291,281,232,634,237,471,725,243,232,9
786,679,296,186,172,277,268,249,642,254,467,728,268,255,9
531,484,281,87,82,273,243,227,438,333,356,663,227,251,10
595,542,281,113,101,287,264,207,617,701,538,669,261,304,10
266,236,289,104,87,309,246,222,563,246,517,721,251,346,11
599,491,313,144,119,309,252,245,567,225,451,734,237,253,11
192,162,303,255,210,310,260,225,612,244,397,596,236,245,12
422,370,292,611,535,292,293,227,660,244,514,687,262,264,12
245,205,306,75,67,287,259,219,485,238,324,797,235,246,12
541,480,289,714,575,318,321,216,654,253,547,751,255,261,13
406,351,296,91,82,283,259,237,572,233,553,711,238,517,13
341,310,281,71,66,274,247,239,408,251,319,771,249,240,13
545,495,282,152,136,285,246,225,612,244,406,620,237,217,13
617,557,283,524,467,287,281,217,652,267,498,695,257,238,14
383,355,276,115,108,272,238,233,587,245,451,831,246,236,14
460,396,297,177,160,284,261,224,562,224,398,580,240,226,15
827,720,294,185,160,296,262,230,658,227,478,746,235,258,16
729,617,302,193,163,302,286,230,677,254,525,829,267,262,16
219,185,303,163,137,305,247,234,520,249,409,655,231,240,16
614,571,275,94,87,277,258,255,634,241,440,773,259,245,16
751,644,299,336,296,290,348,238,634,230,500,698,246,242,17
377,337,287,163,148,282,243,219,389,240,431,780,241,244,17
262,236,284,74,66,286,261,230,546,231,276,789,236,249,17
248,238,266,101,98,263,270,245,649,266,500,698,259,261,17
541,461,301,573,495,297,342,230,667,240,529,742,254,260,18
469,417,288,121,110,281,266,222,605,249,533,770,278,262,18
885,723,313,216,180,307,254,223,677,232,557,674,244,265,19
483,379,327,144,125,294,310,245,498,231,384,657,236,246,19
473,434,279,90,84,273,239,225,513,234,464,698,238,246,19
383,345,284,78,72,279,262,218,440,645,363,717,243,260,20
411,378,279,96,88,279,263,240,550,233,492,726,252,371,22
594,508,299,672,581,296,349,247,674,248,520,739,255,280,23
572,500,293,725,621,299,337,222,693,262,523,732,253,289,23
