"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD19","Comp-APC-Cy7-A :: CD4","Comp-AmCyan-A :: L_D","Comp-BV711-A :: CD8","Comp-FITC-A :: CD49b","Comp-PE-A :: CD45","Comp-PE-Cy7-A :: TCRb","Comp-Pacific Blue-A :: NKp46","Time"
247,218,290,81,74,278,250,217,583,561,289,701,585,260,2
366,329,285,95,87,278,254,236,548,645,351,689,436,262,4
437,406,275,105,99,272,243,183,523,649,390,715,673,300,5
370,333,285,77,72,275,248,214,521,626,435,751,517,249,6
343,313,281,75,71,269,268,310,455,706,206,717,561,255,6
234,211,284,84,75,286,252,255,477,714,336,724,641,264,6
283,237,306,122,115,272,241,222,519,612,384,748,571,291,6
384,351,280,73,69,271,246,230,584,629,472,753,601,271,8
443,421,270,48,45,273,244,251,486,535,373,660,528,257,9
284,253,287,108,101,272,257,232,547,400,401,675,415,255,12
373,336,284,99,92,276,253,231,597,631,313,696,647,260,12
403,374,275,94,84,288,269,230,603,557,403,753,724,269,12
256,227,288,58,53,278,246,261,533,568,318,686,587,248,13
334,304,282,65,61,272,250,305,613,617,423,693,587,250,15
395,355,285,103,89,295,238,258,637,557,412,693,626,252,16
286,246,298,68,63,278,252,204,527,618,339,702,583,248,17
268,227,303,129,116,285,247,229,641,415,336,756,637,252,17
231,182,325,137,118,296,269,210,578,585,314,668,430,245,18
244,213,293,135,120,288,257,215,591,587,489,773,374,247,18
412,366,289,93,88,270,242,234,538,468,463,642,627,281,21
347,304,292,95,88,274,260,177,566,689,452,746,619,283,22
376,342,282,89,84,271,228,247,545,607,291,726,550,271,25
243,189,330,137,122,287,235,185,562,663,497,767,602,246,25
896,767,299,282,243,297,293,354,695,502,553,796,480,266,32
328,292,287,80,77,268,242,217,421,465,443,707,582,244,33
140,118,302,73,64,292,251,273,513,567,254,671,579,260,33
332,300,283,95,86,282,239,239,479,612,443,680,545,258,37
217,174,319,66,59,286,247,202,429,647,272,753,628,269,39
331,291,291,85,79,275,262,221,502,512,480,670,431,251,40
277,223,318,133,117,290,268,235,622,450,461,709,651,263,41
325,291,286,97,89,277,272,292,531,552,283,744,623,230,43
356,317,288,111,103,277,250,214,552,426,326,719,648,241,43
327,298,281,88,83,272,253,285,497,724,360,714,543,273,43
271,242,286,86,80,275,237,235,515,537,291,721,557,230,43
265,213,319,102,90,290,258,238,568,625,474,724,656,269,45
435,392,284,127,116,280,262,237,535,582,611,733,585,279,45
303,270,288,90,76,303,253,238,457,520,458,761,511,267,51
277,248,286,88,84,269,245,271,381,531,449,714,600,247,52
265,245,277,85,77,284,244,247,609,764,478,756,680,276,52
230,170,346,148,130,291,255,229,567,677,460,654,482,260,53
403,362,285,95,88,275,277,248,624,767,510,717,512,270,53
402,366,281,84,78,276,243,205,573,535,503,715,605,267,54
289,255,290,88,82,275,240,217,496,514,445,737,593,257,59
239,216,284,90,82,281,247,139,485,751,366,702,540,289,61
218,189,296,96,85,289,267,268,570,728,381,710,495,294,61
379,344,282,49,45,278,224,218,580,719,323,701,607,265,63
281,259,277,87,79,282,273,239,530,469,457,693,547,278,63
397,361,281,90,86,269,240,228,510,449,408,724,481,242,64
279,219,326,94,85,283,243,209,553,622,377,721,591,269,64
439,416,270,109,99,281,233,214,586,608,412,675,595,245,65
342,308,285,75,73,263,263,220,435,537,406,658,508,239,66
563,520,277,70,63,281,239,221,561,489,398,686,594,255,68
332,312,272,99,88,286,254,172,533,654,380,708,548,271,70
355,294,309,101,86,298,248,249,579,379,427,686,569,254,72
289,254,291,72,66,279,241,203,521,738,444,709,655,250,73
267,242,282,138,119,297,274,233,619,470,403,691,421,245,73
451,417,277,82,75,279,259,228,572,407,441,670,624,251,77
386,350,283,78,73,274,238,241,584,410,366,722,493,235,78
400,370,276,117,111,271,227,228,566,485,388,631,447,236,82
391,360,278,77,70,281,245,233,476,636,303,739,528,250,83
429,372,295,117,110,273,252,222,575,599,411,663,559,262,84
286,249,293,69,65,274,236,221,544,625,330,691,565,245,85
438,390,287,102,93,280,266,243,519,542,349,767,601,255,85
267,239,286,63,59,274,261,244,531,512,297,715,634,225,86
238,204,299,125,117,275,228,214,507,621,323,656,574,262,86
477,440,277,82,77,274,248,225,605,583,430,753,598,274,87
302,286,271,72,66,277,241,239,532,631,274,718,587,255,87
284,256,284,71,61,302,241,318,549,610,409,731,632,225,90
304,263,296,115,102,288,265,213,535,382,441,639,394,252,90
289,209,353,145,120,309,255,210,657,668,446,783,688,261,92
460,432,273,101,91,284,252,253,407,561,318,779,474,249,92
459,418,281,111,102,279,253,222,628,408,475,687,481,251,94
317,286,283,52,50,266,249,271,413,596,188,695,525,244,97
279,244,293,65,62,266,232,225,496,521,441,704,491,246,99
412,377,279,126,119,272,273,259,546,572,422,702,489,249,99
422,378,286,114,106,276,287,214,580,583,521,722,402,247,100
308,263,301,83,76,277,245,222,608,624,505,718,679,264,103
354,313,290,112,97,294,258,241,544,445,464,721,388,242,103
481,414,297,82,74,284,244,235,591,579,477,673,510,251,104
245,219,286,81,72,286,251,240,426,626,494,743,634,259,105
244,213,293,96,87,281,250,295,598,650,338,736,610,264,110
379,346,281,60,55,277,286,260,504,720,352,733,661,265,112
334,307,279,77,72,271,239,247,468,659,330,750,602,251,117
325,296,281,87,79,283,251,216,535,414,322,689,438,234,118
434,402,276,51,48,270,249,286,570,665,298,689,633,240,120
354,326,278,79,73,276,252,251,691,652,447,743,429,282,121
349,318,281,68,64,271,251,236,320,711,279,699,576,251,123
405,362,287,93,86,278,250,235,545,635,424,748,628,256,129
308,273,289,92,84,281,261,273,541,620,291,666,664,247,129
375,339,283,194,180,275,244,236,591,636,492,721,568,253,129
528,479,282,77,73,269,244,227,591,472,357,594,448,246,130
262,234,287,74,69,275,253,278,435,623,296,739,638,259,131
301,264,292,85,71,309,258,202,406,537,336,708,624,253,132
392,356,281,81,76,273,259,226,482,371,421,706,622,240,134
280,248,289,69,63,282,244,249,426,560,292,697,577,250,135
357,320,286,119,107,284,257,237,571,512,403,664,519,240,136
452,427,271,59,57,266,239,201,543,641,394,730,660,241,138
304,264,295,121,111,279,268,240,574,595,475,653,605,329,145
359,317,290,76,71,276,265,267,506,620,332,629,470,249,148
412,374,282,70,66,272,259,285,509,697,295,717,627,271,149
456,426,274,87,79,282,246,201,564,573,479,775,567,257,151
263,222,303,102,92,283,252,273,505,560,431,679,571,259,152
290,248,300,79,73,279,275,243,543,604,336,745,592,246,152
357,317,288,67,64,267,241,211,572,539,362,684,526,259,156
429,387,284,112,103,277,250,250,624,392,419,707,626,243,157
478,447,274,133,116,292,238,208,589,561,302,655,492,270,159
202,180,288,111,98,292,267,223,575,642,347,722,630,283,160
325,292,285,82,78,267,249,222,535,426,320,725,483,239,161
338,304,284,77,72,274,255,231,528,419,240,730,562,245,164
454,415,280,94,85,282,259,225,595,631,403,752,631,269,164
283,255,285,77,71,278,247,235,544,610,362,714,580,260,166
401,361,284,165,148,285,239,238,587,674,374,687,519,274,175
338,298,290,82,77,272,253,222,517,596,382,650,563,251,176
219,185,303,56,51,284,256,251,505,525,377,671,418,244,178
518,475,279,83,76,279,276,185,631,686,473,760,662,258,179
444,409,278,73,67,281,227,213,489,583,466,697,660,246,181
302,267,289,92,85,279,256,224,544,354,418,639,384,253,183
302,274,282,68,61,286,242,215,595,559,362,634,531,228,183
326,299,279,123,110,287,268,289,566,671,344,686,440,228,185
327,296,283,90,85,271,240,198,512,616,403,761,642,247,187
275,241,292,153,138,284,257,246,494,537,427,707,509,249,188
359,325,283,94,89,269,262,230,531,525,360,667,507,247,188
344,318,277,79,71,284,255,240,597,460,344,736,541,240,188
435,396,281,104,98,272,251,244,575,557,484,702,560,252,189
443,390,291,122,107,290,270,260,674,709,568,814,740,295,189
392,352,285,129,120,274,240,219,600,589,491,733,535,243,192
573,447,328,537,398,346,302,276,744,731,564,696,581,314,193
214,182,300,136,117,297,275,230,649,623,484,740,598,285,194
230,194,305,103,92,285,266,199,590,601,351,664,601,250,194
417,385,277,70,64,280,250,237,599,732,352,745,647,274,194
206,171,309,100,91,282,245,304,539,636,388,727,522,261,194
493,428,295,114,104,280,254,225,580,352,537,757,644,266,198
325,292,285,66,62,277,249,264,467,574,323,689,542,254,199
291,252,295,93,81,293,236,227,651,559,388,745,493,256,199
210,162,333,120,96,321,269,308,550,666,313,688,464,245,199
300,270,285,66,58,294,242,233,585,621,436,708,567,255,203
197,164,309,85,77,283,266,265,621,689,366,749,654,268,204
275,245,287,64,61,271,249,243,664,604,253,741,566,254,205
254,221,294,101,96,270,245,231,573,478,418,677,375,248,206
226,221,262,69,63,283,234,210,408,639,169,729,610,267,208
287,253,291,85,79,274,271,291,600,679,449,704,579,251,212
329,287,293,104,94,283,271,252,583,545,487,669,673,286,213
355,319,285,58,55,272,238,227,540,457,415,644,521,248,213
401,353,291,80,73,281,239,250,504,618,384,657,629,238,213
431,399,277,92,86,274,249,248,556,643,201,718,630,266,216
526,476,283,123,114,277,262,204,567,561,466,743,559,258,218
317,262,310,124,113,280,281,211,605,563,409,741,583,255,219
381,346,282,184,161,294,243,203,621,663,467,666,592,258,221
472,419,288,86,79,282,256,215,404,519,339,662,538,265,222
