"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD19","Comp-APC-Cy7-A :: CD4","Comp-AmCyan-A :: L_D","Comp-BV711-A :: CD8","Comp-FITC-A :: CD49b","Comp-PE-A :: CD45","Comp-PE-Cy7-A :: TCRb","Comp-Pacific Blue-A :: NKp46","Time"
373,332,288,121,104,298,260,233,599,258,555,678,231,416,0
441,392,288,133,121,281,242,220,599,249,521,649,240,472,1
402,369,279,107,98,280,248,233,519,228,575,733,228,408,4
478,417,293,154,134,294,260,242,618,227,573,725,239,386,5
344,300,294,191,163,300,272,230,625,239,619,668,263,475,22
511,466,281,104,95,279,246,232,459,236,516,703,239,396,23
302,266,290,86,79,277,247,214,574,263,459,665,225,447,25
523,475,282,107,96,285,268,227,561,267,402,727,238,510,29
525,491,274,76,70,280,252,226,451,226,412,670,241,384,32
457,427,275,86,78,283,232,221,569,244,390,682,225,401,37
538,499,276,102,96,271,253,226,585,237,440,648,228,409,49
213,188,291,101,75,343,254,221,618,268,458,673,247,463,55
454,399,292,136,117,299,274,228,596,256,469,730,234,543,58
318,289,282,72,69,268,246,228,520,238,427,691,245,497,73
375,328,293,123,115,274,256,217,496,233,397,697,243,503,73
349,303,294,138,118,299,253,227,512,240,430,740,240,442,76
342,303,289,127,117,278,275,230,530,241,436,728,236,454,84
466,414,288,181,163,285,240,233,575,251,589,680,232,403,86
501,442,290,167,156,274,253,224,545,231,395,651,244,481,104
344,271,325,184,133,354,267,229,639,248,551,719,234,429,107
546,491,285,128,118,277,236,232,620,231,513,661,238,428,126
574,528,278,166,150,282,249,244,627,244,438,704,261,419,138
403,360,287,114,100,293,248,241,425,227,361,700,233,432,146
268,237,290,146,128,292,243,225,585,229,470,713,219,569,152
337,301,286,180,163,282,256,239,584,231,375,768,243,440,156
403,368,280,210,191,282,261,664,625,253,495,666,309,514,157
410,370,284,97,90,275,230,224,571,233,480,704,261,398,159
402,359,287,102,91,287,253,229,542,235,587,672,227,403,170
305,277,282,111,101,281,252,234,480,246,484,744,270,509,188
414,377,281,93,86,277,234,227,502,226,361,698,237,427,191
487,450,277,77,72,274,240,549,477,240,363,698,274,504,194
356,312,292,146,135,276,253,224,598,249,484,753,271,471,218
364,336,277,149,132,287,261,242,600,254,457,687,233,536,237
366,316,296,141,123,295,253,683,603,250,371,716,299,545,246
367,334,281,157,138,292,258,239,574,249,423,739,250,503,248
470,428,281,118,105,286,246,243,525,235,453,713,243,498,250
436,392,285,130,120,276,247,219,482,233,490,720,240,514,252
343,308,285,121,108,288,241,236,589,261,468,687,250,513,256
155,132,299,174,138,322,232,611,602,266,428,603,262,401,257
403,365,283,84,79,275,238,243,477,250,389,645,249,395,259
310,267,298,201,171,301,256,636,613,254,535,746,270,564,261
412,371,284,81,74,280,245,251,608,275,624,696,242,399,271
440,401,281,108,100,276,243,234,470,249,466,672,244,469,301
396,341,297,258,221,299,285,597,632,252,502,740,229,609,307
377,319,302,184,159,297,240,470,644,254,447,770,258,562,321
427,391,279,106,96,281,250,233,587,249,483,667,242,413,325
386,353,280,103,92,286,267,228,589,234,410,639,246,442,328
247,205,309,140,115,310,284,634,568,237,486,697,262,438,333
242,222,279,86,76,287,263,221,556,237,397,708,250,414,345
212,188,289,66,61,273,248,233,523,229,399,662,229,384,354
402,365,282,111,102,280,241,236,654,227,422,709,239,422,355
343,307,286,67,63,271,256,227,501,227,356,643,229,385,356
283,241,300,100,91,280,249,234,543,253,391,628,214,468,363
347,302,295,112,102,282,252,249,645,241,440,709,267,431,372
483,435,284,183,161,292,259,654,635,241,359,706,303,459,374
290,252,295,155,142,279,233,538,587,236,454,724,248,508,374
424,376,289,111,100,283,237,237,516,255,454,725,236,450,375
506,450,288,257,224,294,249,517,637,281,479,742,231,631,386
346,308,288,120,107,288,248,241,568,229,477,698,251,447,392
374,333,287,81,74,282,242,228,553,223,412,707,247,494,410
481,435,283,138,123,289,270,238,612,242,503,668,262,556,420
370,333,284,137,121,290,248,222,525,232,447,660,228,387,432
214,186,295,148,132,287,250,227,575,230,358,724,240,434,434
297,248,306,194,168,296,268,628,615,264,429,716,320,498,435
299,266,288,87,78,283,252,237,559,258,369,653,219,463,438
314,289,279,129,118,280,255,235,553,262,359,715,245,471,438
377,307,315,176,157,288,259,229,578,247,629,705,245,459,441
318,276,295,205,173,303,251,229,583,237,448,707,227,429,444
365,334,279,119,110,279,234,239,567,245,514,642,236,408,457
416,379,281,135,117,294,262,239,636,227,635,709,220,459,464
425,385,283,91,84,278,245,239,533,235,565,703,251,425,470
367,330,284,96,76,322,244,236,598,257,535,674,245,545,477
463,364,325,126,112,286,248,223,498,244,417,636,239,476,487
358,309,297,189,160,302,280,228,614,251,489,755,242,427,489
329,292,289,117,106,282,242,241,498,237,382,698,226,413,491
330,304,278,139,124,286,265,251,656,256,385,673,236,419,493
199,177,287,125,103,311,245,218,590,249,544,707,238,498,509
331,261,325,208,179,297,261,211,637,838,469,728,273,395,511
361,329,281,81,76,273,242,226,583,248,354,653,239,457,531
380,326,299,138,119,296,249,235,673,249,443,743,243,489,538
349,313,286,98,90,279,260,258,590,258,491,706,264,461,543
364,312,298,134,122,281,250,235,568,240,444,681,236,431,545
572,508,288,183,165,285,255,238,611,264,507,722,246,479,545
