"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD19","Comp-APC-Cy7-A :: CD4","Comp-AmCyan-A :: L_D","Comp-BV711-A :: CD8","Comp-FITC-A :: CD49b","Comp-PE-A :: CD45","Comp-PE-Cy7-A :: TCRb","Comp-Pacific Blue-A :: NKp46","Time"
568,540,269,115,108,270,266,207,563,519,520,718,581,269,1
420,390,276,93,88,268,247,221,572,476,350,753,607,248,1
268,250,274,70,67,269,230,223,626,473,445,672,609,294,1
249,219,291,88,80,280,255,276,520,688,265,706,565,248,3
273,263,266,94,86,281,233,240,420,436,456,783,382,241,4
420,390,275,155,143,278,244,386,574,235,527,803,628,244,5
499,462,277,121,114,272,257,233,553,234,451,697,556,267,5
442,401,282,84,81,267,237,238,579,379,405,638,529,228,5
458,419,280,106,99,274,247,199,603,631,505,754,681,253,6
389,353,282,93,88,271,257,217,551,600,461,728,672,278,7
264,242,279,91,81,288,242,230,473,227,358,677,480,239,9
452,428,270,92,84,282,252,220,623,223,403,762,685,239,11
424,397,273,79,72,278,262,232,596,509,343,727,617,239,11
486,448,278,107,101,269,240,467,535,263,436,723,527,237,12
322,287,287,101,89,289,269,262,556,258,430,692,655,244,12
241,199,310,129,116,286,248,219,567,230,434,708,553,268,14
263,219,308,121,109,284,239,228,578,778,419,748,544,280,15
287,254,290,65,59,286,243,212,585,241,315,750,559,242,16
599,567,270,61,58,270,219,236,503,510,379,646,552,232,16
565,536,270,86,82,269,250,204,617,592,412,707,665,253,16
228,203,288,127,112,292,258,223,574,237,342,746,551,229,17
422,385,281,89,83,275,256,217,632,245,476,710,590,249,17
274,237,297,119,107,283,238,212,568,683,443,790,658,286,17
323,283,292,76,70,279,243,232,473,244,322,740,606,236,19
422,401,270,134,128,268,254,379,557,227,384,724,510,238,20
424,389,279,58,54,278,264,311,586,738,354,695,621,275,20
360,321,287,88,79,284,255,233,550,218,470,757,715,256,21
403,364,283,158,140,288,243,511,580,230,489,787,693,240,21
420,382,282,67,63,273,236,542,620,237,412,719,699,226,23
416,384,277,82,79,268,242,503,555,224,385,702,672,234,23
409,371,282,83,78,274,248,579,534,221,236,714,692,237,23
147,121,311,77,66,299,246,241,555,338,349,774,609,263,24
307,269,292,103,93,285,242,233,611,234,491,744,647,245,26
380,344,283,67,63,270,264,221,500,283,401,644,539,249,26
423,387,280,90,82,280,254,285,573,219,356,695,641,250,27
350,327,274,56,54,263,253,220,449,520,226,719,463,240,29
293,266,282,107,100,273,255,230,599,273,455,728,571,247,29
216,191,289,59,53,283,248,242,416,226,382,758,734,269,29
414,372,285,87,84,265,233,216,589,220,339,726,708,238,30
275,241,292,75,71,270,264,222,488,229,345,768,536,241,31
194,169,294,62,57,279,274,453,574,714,394,738,543,243,32
502,448,287,161,151,273,257,236,657,584,463,752,682,248,32
428,402,273,101,96,269,258,496,607,251,372,756,711,227,32
426,386,283,63,59,272,254,268,547,583,428,744,591,250,33
626,577,278,118,112,270,231,494,586,235,403,726,615,252,36
458,427,275,130,119,281,237,240,572,234,446,706,525,236,37
323,297,278,96,89,276,257,196,537,543,440,768,726,242,38
348,305,292,120,108,285,262,536,628,221,434,729,575,240,39
343,309,284,116,107,277,238,222,531,652,504,765,600,271,39
277,231,307,111,99,288,242,213,573,735,535,775,640,309,39
435,394,282,49,44,287,242,234,535,676,401,711,574,263,40
522,468,286,98,91,275,242,218,632,698,442,768,683,260,40
483,449,275,54,50,277,235,231,572,489,270,715,563,242,40
309,283,280,56,51,285,237,228,544,230,305,748,637,231,41
523,486,275,118,107,280,249,571,587,243,468,707,633,252,42
263,226,298,80,72,284,239,233,440,258,387,757,532,252,42
320,290,283,91,85,275,252,222,624,234,471,771,635,263,43
388,366,272,81,74,280,249,212,527,228,302,781,610,243,43
270,239,289,87,81,275,262,213,576,223,299,761,575,251,43
338,311,278,104,97,276,252,570,495,219,287,732,631,235,44
466,434,275,65,60,278,267,258,601,609,463,756,670,255,44
394,353,286,83,79,269,249,205,539,610,401,682,642,244,46
403,368,281,73,67,278,239,236,578,238,495,774,636,246,47
361,315,293,70,66,273,284,235,516,610,391,758,540,268,49
416,366,291,120,110,278,243,219,608,347,456,674,521,249,50
401,362,284,87,80,280,270,406,561,795,395,743,615,260,51
422,394,275,68,64,271,232,234,547,570,240,731,687,234,51
436,401,279,54,51,273,240,586,546,226,291,692,702,235,53
388,352,282,62,59,270,238,239,554,232,248,681,557,246,54
415,373,285,100,89,285,261,217,567,456,353,740,668,250,55
433,394,282,90,85,273,245,247,561,563,259,718,589,233,56
340,302,288,54,50,279,244,268,434,658,266,684,662,251,57
428,389,282,93,92,261,256,457,351,254,317,701,651,250,57
290,247,301,112,96,298,270,227,578,354,411,741,600,265,58
313,286,281,84,77,279,248,247,538,243,409,753,513,247,58
235,196,308,75,66,293,261,207,550,738,427,775,679,303,58
378,342,282,54,52,269,245,325,490,257,401,768,588,231,59
214,172,318,101,90,288,263,282,551,621,360,715,675,249,60
313,278,288,112,104,277,266,547,551,248,356,695,619,248,61
409,370,283,96,89,276,261,215,555,390,389,697,516,260,63
569,520,280,109,100,281,251,236,602,230,474,729,402,242,63
618,559,283,78,71,279,243,202,586,566,383,738,621,253,64
498,458,278,73,67,281,213,218,585,576,348,709,480,236,64
408,331,315,131,113,297,269,257,629,689,512,737,660,295,65
343,306,287,89,85,267,251,493,616,252,308,747,653,251,65
428,382,287,78,73,273,237,203,547,656,507,750,554,303,68
277,247,287,69,64,279,240,239,425,204,335,797,507,255,69
453,417,278,100,94,272,241,217,583,634,456,787,718,271,69
411,368,286,84,80,270,261,206,396,627,384,738,650,258,70
408,364,287,56,53,275,242,219,590,243,419,708,589,246,71
348,308,290,82,76,275,251,225,504,232,370,720,607,263,72
258,230,287,95,87,278,252,243,483,216,127,762,641,239,72
353,301,299,120,104,296,286,270,706,277,558,659,385,273,74
292,270,277,72,70,264,252,216,640,247,473,735,595,283,74
211,172,315,83,74,287,273,266,549,614,279,677,568,258,76
296,264,286,73,69,268,251,471,522,232,385,706,604,248,76
374,324,296,102,97,267,254,180,596,635,493,789,632,265,76
480,452,272,82,75,280,262,435,569,224,478,796,705,252,78
449,398,289,105,97,277,231,210,556,378,452,705,626,257,80
368,334,282,73,66,280,239,244,588,215,359,761,587,248,80
477,445,275,118,112,270,257,233,596,457,357,674,416,244,80
809,673,308,344,285,308,302,237,698,267,473,631,463,276,80
332,302,282,81,74,280,252,265,533,607,440,744,548,254,81
196,155,323,92,82,287,231,240,515,219,536,788,616,258,81
333,300,284,89,81,281,252,239,526,234,426,693,640,255,81
379,338,287,79,71,284,252,228,575,241,223,711,511,242,81
358,330,278,66,62,273,248,232,562,271,239,659,478,232,81
481,454,271,88,82,275,242,520,565,217,369,752,647,249,82
234,197,304,75,69,278,272,251,568,461,272,697,498,258,83
504,465,278,165,148,285,244,247,592,243,501,763,595,241,84
397,366,278,77,74,267,254,254,558,577,315,705,558,253,85
405,365,284,87,79,283,251,228,574,522,472,720,532,265,85
335,301,285,118,113,267,229,220,573,621,310,751,580,252,86
493,464,272,117,112,267,253,237,503,727,417,680,626,315,86
308,268,294,66,60,282,264,225,540,539,325,718,519,241,88
323,295,281,68,61,287,247,239,573,471,389,698,551,245,89
297,263,289,143,131,279,242,202,589,529,468,707,532,238,89
356,330,276,80,73,280,252,232,441,241,340,708,523,236,93
476,454,269,101,97,268,248,247,511,532,338,717,602,261,94
312,278,287,55,53,269,234,248,551,619,400,720,561,263,96
357,331,277,86,81,272,258,275,486,341,314,742,586,248,96
408,379,276,77,71,277,246,229,619,413,547,732,509,314,97
336,292,294,106,97,278,244,221,634,241,454,737,593,242,98
