"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD11c","Comp-APC-Cy7-A :: CD452","Comp-AmCyan-A :: L_D","Comp-BV711-A :: MHCII","Comp-PE-A :: CD11b","Comp-PE-Cy7-A :: Ly6G","Comp-Pacific Blue-A :: Ly6C","Time"
143,121,302,112,91,316,652,767,631,919,760,280,241,2
204,183,286,58,51,291,597,708,587,788,781,284,238,7
297,274,278,159,127,322,738,737,656,802,354,259,269,15
359,296,311,149,124,306,651,738,621,817,571,335,267,19
162,126,330,117,98,306,581,652,716,751,475,198,189,24
218,199,280,129,111,298,591,760,707,855,904,278,247,35
260,237,280,76,65,299,643,645,590,806,293,196,218,54
135,122,284,131,105,320,643,755,680,814,863,300,247,59
329,282,299,102,88,296,612,720,673,858,842,325,338,71
358,299,307,156,128,313,737,767,693,852,505,367,285,86
169,144,301,113,96,301,570,725,657,912,785,254,361,88
379,337,288,106,90,302,669,739,600,777,603,196,263,90
304,286,272,66,57,296,636,689,582,747,698,229,326,91
262,234,286,68,58,300,621,733,605,852,688,275,298,96
255,221,295,158,119,341,728,651,654,940,570,344,272,105
369,339,278,82,72,289,628,737,637,866,823,246,245,107
314,239,336,150,120,321,756,748,651,815,404,296,302,113
216,184,302,89,71,322,660,627,648,792,759,265,273,116
453,382,303,191,156,314,685,795,675,860,767,338,249,118
278,251,283,78,69,290,585,674,585,788,447,270,230,136
292,263,284,89,81,281,599,691,664,829,870,390,275,140
235,203,295,131,112,299,603,687,723,837,693,346,273,141
390,329,304,140,118,304,700,727,640,808,577,243,330,149
322,280,294,88,78,286,685,707,601,765,334,252,253,154
272,205,340,166,128,333,688,778,691,955,568,180,255,167
155,120,330,158,121,334,732,781,680,843,577,261,329,173
244,210,298,120,105,293,623,647,562,780,689,222,267,178
130,104,322,209,170,314,631,779,710,870,892,312,286,196
259,221,300,93,83,288,599,780,676,755,884,276,487,209
