"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD11c","Comp-APC-Cy7-A :: CD452","Comp-AmCyan-A :: L_D","Comp-BV711-A :: MHCII","Comp-PE-A :: CD11b","Comp-PE-Cy7-A :: Ly6G","Comp-Pacific Blue-A :: Ly6C","Time"
398,349,292,87,76,296,510,727,672,854,905,333,256,0
325,285,292,363,323,288,429,624,621,273,842,268,315,1
320,275,298,369,322,294,424,656,636,285,834,313,356,1
257,213,308,321,265,310,364,701,658,286,835,317,241,4
204,183,286,58,51,291,597,708,587,788,781,284,238,7
209,192,279,311,276,288,313,585,610,258,764,345,395,10
239,214,286,326,293,285,337,667,615,272,797,273,271,12
259,230,289,355,319,285,349,639,627,288,855,321,381,12
170,145,300,213,185,294,379,636,577,247,788,299,286,13
303,267,291,84,74,288,510,673,613,834,809,292,560,14
248,223,285,417,376,284,444,672,668,248,816,262,288,16
313,267,300,285,247,295,439,637,683,364,894,304,271,18
333,289,295,93,79,298,175,720,694,742,873,294,684,19
396,349,291,307,277,284,363,706,658,253,828,277,261,19
346,301,294,332,301,282,363,632,645,316,839,320,524,20
229,199,295,255,229,285,477,606,623,235,854,282,253,20
328,285,294,250,221,289,428,647,621,295,863,398,442,20
163,141,298,301,266,290,518,645,706,261,969,361,286,27
370,303,312,181,150,308,483,774,685,860,896,232,283,29
307,273,289,237,209,290,375,674,610,267,901,275,368,31
277,242,293,170,153,284,326,714,598,274,818,277,244,32
322,277,297,264,239,283,506,673,691,233,943,329,279,33
218,199,280,129,111,298,591,760,707,855,904,278,247,35
266,229,298,322,268,308,389,727,634,264,906,281,292,35
237,203,299,214,190,289,316,689,630,271,800,251,323,36
341,294,298,356,314,290,368,651,629,299,826,275,359,36
213,189,289,247,215,295,335,627,619,282,800,296,519,39
241,203,304,100,89,287,253,641,612,413,833,304,777,44
210,180,298,235,211,285,404,596,681,552,828,290,524,45
285,240,305,293,250,301,402,649,658,351,883,363,296,48
319,281,290,372,335,284,401,662,653,357,827,265,336,48
373,307,311,112,96,300,483,713,721,911,877,283,357,49
351,302,297,223,204,280,370,655,675,251,754,298,220,51
259,221,300,123,106,298,354,705,701,467,907,390,809,54
267,221,310,186,167,286,343,678,667,249,863,304,265,55
251,200,322,141,121,300,503,725,718,869,822,358,237,63
306,284,276,172,154,286,341,601,613,236,786,257,273,67
223,189,301,90,80,290,521,759,657,783,848,190,406,68
198,169,301,333,288,296,407,650,585,458,841,282,336,69
329,282,299,102,88,296,612,720,673,858,842,325,338,71
393,356,283,238,219,278,281,618,608,394,846,305,523,75
199,171,298,197,171,295,329,703,604,233,834,221,245,78
266,229,298,83,70,306,636,776,568,726,878,215,258,85
271,231,300,290,249,298,348,674,633,252,822,319,421,87
169,144,301,113,96,301,570,725,657,912,785,254,361,88
219,184,306,275,246,287,428,690,648,294,867,286,364,91
205,182,287,41,38,279,273,590,567,564,804,269,219,94
243,216,288,293,265,284,344,657,605,353,838,256,341,102
410,348,302,312,262,304,384,710,691,270,908,334,301,102
284,248,293,97,88,283,325,732,581,807,835,338,250,107
319,276,296,259,230,288,268,705,667,263,832,301,249,107
369,339,278,82,72,289,628,737,637,866,823,246,245,107
261,223,299,283,249,291,444,682,624,249,872,280,263,108
307,276,285,393,355,284,412,628,644,262,805,282,401,109
196,152,329,349,254,352,473,685,716,282,902,309,279,123
228,209,279,279,258,276,376,657,643,276,787,299,256,127
297,263,290,311,290,274,357,611,584,282,749,333,308,130
294,260,290,204,187,279,324,666,644,256,882,309,258,133
238,216,282,314,276,291,358,631,618,352,778,285,464,135
203,172,304,310,262,303,447,675,654,287,910,293,271,137
337,296,292,359,321,286,497,637,634,275,902,341,270,139
292,263,284,89,81,281,599,691,664,829,870,390,275,140
197,170,297,265,242,280,384,600,652,296,834,279,377,140
472,409,296,322,284,291,514,639,687,259,898,316,256,143
356,307,296,91,81,290,521,735,702,862,873,316,533,145
262,225,297,253,221,292,297,617,570,251,749,259,299,147
241,204,303,344,294,299,364,696,627,285,830,295,303,147
403,332,311,139,116,308,403,752,693,849,937,289,260,148
224,201,286,213,196,279,399,609,605,233,839,314,252,152
313,284,283,305,274,285,345,642,672,280,825,317,444,152
249,228,279,138,120,293,339,638,552,221,883,258,240,156
306,271,289,294,267,281,311,699,697,272,866,309,226,157
332,294,289,315,275,293,373,725,673,264,911,320,244,160
302,264,293,253,218,297,510,680,703,267,909,336,367,160
354,306,297,384,351,280,349,623,634,306,815,320,536,161
268,240,286,341,292,298,389,676,639,276,806,291,346,161
218,185,302,321,266,309,459,692,622,257,889,314,264,162
210,168,320,412,347,304,387,687,686,275,889,309,304,163
347,308,288,273,252,277,332,692,665,274,824,282,289,165
255,210,312,315,252,320,507,640,650,246,860,259,268,169
300,268,287,324,295,281,432,616,682,254,857,320,246,170
204,165,317,183,145,323,312,742,602,254,868,279,258,171
321,283,290,224,206,278,285,705,648,280,830,304,232,174
237,201,302,284,262,277,405,661,646,233,804,254,295,174
222,143,397,321,241,340,384,688,680,252,759,302,239,175
326,278,300,386,334,296,370,695,628,265,823,344,305,175
307,269,293,364,321,290,346,692,694,281,892,307,403,184
274,223,314,309,255,310,372,601,619,284,855,293,426,187
282,245,295,49,44,286,486,718,710,873,850,311,286,188
324,289,287,327,284,295,412,625,619,291,854,310,265,191
262,228,294,294,262,287,407,683,646,316,842,310,261,192
162,139,299,83,69,312,291,685,594,490,880,340,825,192
249,214,298,278,253,281,349,646,557,255,818,234,543,195
130,104,322,209,170,314,631,779,710,870,892,312,286,196
266,240,283,401,357,287,350,645,651,279,852,331,365,201
124,113,281,114,100,290,326,610,638,730,761,289,245,201
294,253,298,231,208,284,264,666,627,253,850,272,396,206
188,154,311,268,231,298,338,688,628,227,805,245,252,206
346,306,289,96,87,283,486,741,675,858,823,364,324,208
259,221,300,93,83,288,599,780,676,755,884,276,487,209
201,163,316,103,85,311,626,749,620,868,914,362,213,209
483,421,293,341,307,285,381,616,667,278,895,321,306,210
278,249,285,309,279,283,321,584,559,309,835,291,463,212
253,218,296,324,279,297,344,655,661,253,842,283,237,215
358,324,283,390,346,288,483,668,694,259,874,331,326,216
260,220,302,377,326,296,316,639,590,267,875,304,394,216
252,202,319,351,303,296,438,660,662,257,786,293,247,219
351,304,296,362,319,290,385,692,659,307,851,347,509,220
312,265,301,110,96,294,602,701,686,869,740,222,270,220
397,337,301,108,94,293,415,732,675,812,880,299,665,221
358,315,291,260,235,283,424,700,660,293,848,339,264,233
257,206,320,107,91,300,613,720,648,880,817,287,253,233
275,248,283,225,204,283,251,591,582,264,833,262,456,236
244,184,339,429,348,316,441,629,662,283,854,288,486,237
205,185,285,357,292,313,450,678,645,247,878,291,342,240
167,136,314,210,166,324,336,677,602,263,921,329,256,245
300,264,291,112,98,291,444,703,642,688,788,271,870,250
416,369,289,99,89,282,420,732,645,824,859,284,636,259
243,204,306,278,235,303,517,695,693,245,886,341,240,263
369,321,295,286,257,285,418,666,647,266,849,328,309,264
264,231,292,372,325,293,448,664,613,289,825,311,405,266
271,218,318,128,105,313,586,744,698,916,884,263,274,268
340,298,293,451,396,291,386,650,647,320,814,282,534,269
248,214,297,231,202,293,375,610,621,266,859,286,340,269
274,240,293,133,121,283,277,655,511,230,831,256,243,269
395,357,284,196,183,274,405,624,625,252,758,281,257,270
302,266,291,335,299,286,418,649,656,274,878,310,490,276
243,215,289,87,78,285,489,665,601,727,781,232,344,278
293,260,289,402,346,297,332,700,648,273,821,320,372,279
245,215,292,308,279,283,336,583,610,282,774,280,404,281
297,266,286,329,299,282,377,696,670,245,847,292,259,282
210,181,297,352,308,293,457,689,667,265,821,268,257,283
307,281,280,224,206,279,306,687,623,252,798,341,353,285
274,240,292,170,150,290,420,697,661,223,883,237,235,286
226,199,292,312,278,287,347,598,596,264,832,290,351,289
210,188,287,172,150,292,357,667,609,273,801,277,243,289
333,281,304,112,95,300,530,727,711,761,869,355,740,291
354,311,291,124,109,292,423,684,671,895,810,316,500,294
124,102,310,113,100,291,473,702,613,748,833,270,237,295
276,237,298,389,319,311,510,669,695,313,903,319,345,296
249,215,296,379,329,295,361,607,608,282,782,420,503,298
498,422,302,444,395,287,463,692,682,269,868,259,254,298
518,436,304,168,144,299,536,697,696,803,883,342,247,302
324,281,294,292,256,292,496,685,679,297,893,301,334,302
292,257,291,81,74,277,399,637,700,803,807,312,259,302
246,217,290,94,86,279,302,653,640,506,870,256,846,304
259,236,281,308,276,286,475,673,698,305,917,302,249,307
313,266,301,388,341,291,422,622,684,340,898,329,485,308
267,229,298,248,215,296,373,682,599,260,825,293,349,313
285,243,300,88,75,298,568,686,673,903,792,322,358,315
293,260,289,400,359,285,354,690,563,285,838,394,419,316
359,316,291,407,357,293,417,659,666,256,887,330,274,317
282,247,292,224,198,290,475,662,519,239,875,311,374,317
307,265,297,300,268,287,361,674,571,281,848,334,363,317
250,219,293,107,93,294,561,697,655,819,791,251,385,321
355,297,306,110,94,302,484,750,676,933,894,304,242,322
198,172,294,295,257,294,422,669,618,257,836,255,407,325
259,229,290,290,261,285,454,681,629,243,888,333,326,328
194,164,302,282,252,286,385,697,625,236,833,282,255,329
240,215,285,172,162,271,380,612,579,246,812,261,401,329
301,264,292,334,301,284,377,627,686,290,815,329,292,333
302,273,283,240,223,276,418,642,588,261,790,262,258,334
148,128,296,79,70,286,476,682,484,351,762,290,238,340
254,219,297,144,121,304,462,709,670,772,890,293,315,340
254,223,291,117,103,290,541,646,645,930,792,272,269,341
230,198,298,360,304,303,454,659,640,281,798,274,263,342
292,257,291,421,372,290,466,617,604,257,858,276,350,343
184,162,291,262,219,307,383,717,618,235,772,259,249,345
292,249,301,213,187,292,471,637,691,254,942,387,268,347
210,170,317,242,217,285,341,710,586,275,788,249,254,347
346,288,307,278,246,289,313,623,683,270,860,311,246,348
283,235,308,122,104,300,592,746,706,913,910,270,320,349
302,250,308,318,270,302,381,683,684,261,905,292,248,355
378,303,319,468,402,298,451,713,644,726,801,263,324,358
241,202,306,229,202,290,306,682,584,266,810,233,328,359
222,197,287,259,227,293,387,594,660,278,798,290,249,363
249,213,300,332,291,292,315,657,619,288,812,253,516,367
251,217,296,82,69,302,327,714,654,739,846,289,807,368
340,287,304,365,312,300,432,708,698,377,920,304,273,368
365,314,297,374,327,292,480,682,671,283,915,291,265,369
327,293,287,66,60,279,194,680,622,360,843,267,733,369
350,303,295,339,298,292,397,656,640,365,829,345,403,372
259,235,281,238,215,283,344,677,631,278,826,265,336,377
239,223,275,97,85,293,347,644,691,820,856,399,277,380
210,178,301,268,230,298,343,710,670,271,862,284,254,383
272,235,295,81,70,294,363,707,679,839,857,341,468,385
287,261,282,383,342,287,371,600,654,267,831,336,489,385
376,307,314,497,415,307,374,725,690,286,873,319,260,394
360,319,289,199,182,279,311,713,650,245,842,312,250,400
342,298,294,81,72,287,411,752,617,797,886,256,627,400
253,222,291,397,347,293,370,658,686,318,890,317,298,401
237,210,289,387,328,302,418,655,647,279,840,274,282,402
151,137,283,44,38,299,373,634,639,217,753,235,264,404
281,247,291,104,87,306,522,723,640,872,849,220,314,405
246,219,287,287,258,285,385,625,639,248,793,236,271,407
334,286,299,339,291,298,526,622,695,295,925,363,230,408
268,242,284,109,98,284,280,660,655,421,894,352,789,412
309,269,294,357,320,286,361,650,632,302,750,312,603,413
132,109,310,124,103,308,505,734,650,853,827,207,274,414
263,236,285,57,51,287,311,677,681,650,856,317,546,416
252,212,305,75,66,291,234,685,668,415,849,275,799,420
317,276,295,248,221,288,455,666,593,240,856,263,250,420
331,283,299,341,306,286,387,668,650,271,839,275,273,424
207,189,280,49,45,281,469,710,575,274,802,267,272,424
273,242,288,326,289,289,468,645,628,281,873,303,310,425
253,217,298,262,237,283,300,670,628,250,802,278,427,430
279,251,285,375,347,277,527,642,675,266,891,349,278,432
294,245,307,154,133,295,268,643,659,339,947,796,700,435
295,254,298,337,303,285,348,611,622,267,877,430,452,435
283,265,273,232,212,280,421,647,614,218,800,261,239,436
178,157,290,216,190,290,292,636,527,291,759,263,468,438
197,182,277,84,79,272,402,611,468,208,843,256,247,441
226,200,290,79,71,287,233,669,657,734,807,340,652,441
354,320,283,260,244,273,387,664,630,249,798,246,245,442
211,186,290,241,211,292,336,641,628,246,801,273,298,443
291,258,288,283,261,278,383,595,654,315,736,277,387,445
396,357,284,351,314,286,418,625,698,293,836,285,284,447
233,197,302,313,270,297,394,678,671,265,880,295,363,450
272,248,281,305,266,294,324,636,619,253,836,287,498,454
177,157,290,114,100,292,497,703,690,931,818,314,224,459
353,306,295,287,255,288,462,661,660,244,887,317,285,460
213,176,309,86,75,292,629,736,583,890,798,271,245,460
345,307,288,252,230,280,416,600,600,269,797,383,283,460
169,126,343,336,271,317,417,685,715,310,944,357,293,460
335,289,297,100,86,301,408,723,657,737,889,368,804,461
235,215,279,299,279,274,435,598,590,261,827,295,387,462
209,172,311,381,323,302,431,667,635,257,827,256,346,467
245,225,279,274,256,273,375,593,579,259,802,281,296,470
394,343,294,296,272,279,437,683,671,242,889,308,251,473
253,216,299,73,63,297,621,727,598,788,815,302,248,474
329,290,290,254,221,293,427,682,624,298,846,239,273,474
307,277,284,72,65,284,262,664,667,416,830,293,765,475
240,217,283,279,246,290,461,683,697,335,866,365,269,479
284,241,301,404,353,293,389,627,588,289,872,278,494,479
158,131,310,164,135,311,375,709,703,842,831,380,254,480
335,290,295,104,83,319,216,628,695,475,837,298,820,480
248,217,293,311,274,291,376,703,622,277,826,323,428,480
206,167,316,427,361,303,433,701,686,276,936,350,291,481
369,326,290,285,258,282,469,703,671,246,854,349,276,485
252,214,302,385,315,313,369,686,687,274,791,272,270,486
255,218,300,93,78,305,574,771,699,945,867,272,286,487
322,281,293,337,308,280,285,632,632,328,783,318,657,490
233,199,299,144,122,302,352,679,686,617,882,246,232,490
195,172,290,211,185,291,347,641,556,312,796,240,305,496
263,234,289,231,213,278,275,641,634,261,823,295,299,497
268,235,291,389,339,294,448,677,667,273,843,320,254,497
388,341,291,154,128,309,412,772,697,717,978,384,284,499
150,131,292,267,208,328,449,691,578,257,870,223,313,500
336,308,280,69,63,282,223,705,677,660,959,341,752,501
256,218,301,102,88,298,549,745,671,850,835,309,342,502
288,239,309,288,250,294,367,704,704,254,911,352,247,504
257,223,295,188,161,299,242,690,617,260,804,264,299,505
317,277,293,102,89,293,494,693,718,906,844,332,284,508
196,161,310,307,264,298,456,656,667,265,872,321,302,509
229,205,287,320,275,298,439,635,640,289,863,295,288,518
274,238,295,169,153,283,271,622,590,268,791,278,258,519
308,271,291,195,177,283,231,709,634,237,843,291,254,522
293,256,293,86,74,299,578,739,666,861,787,328,690,525
290,259,286,79,72,282,473,708,676,820,839,270,266,525
414,361,294,306,274,286,445,688,698,302,898,381,290,527
202,181,286,144,133,277,310,616,612,232,786,265,262,529
350,301,298,87,73,304,510,750,678,935,852,225,276,530
355,310,293,116,101,295,406,687,714,814,863,490,231,533
287,249,294,316,283,286,362,608,608,280,744,248,591,534
328,273,308,87,73,303,375,710,675,909,822,309,268,534
290,259,287,108,94,296,503,737,704,823,853,530,230,534
386,333,297,384,345,285,460,649,620,264,823,262,264,537
321,281,293,353,306,295,347,645,615,291,793,304,356,538
220,195,288,242,216,287,377,655,612,265,823,296,319,538
411,341,309,130,113,294,583,777,700,844,871,335,385,538
225,195,296,83,73,289,484,664,550,735,831,250,350,539
349,296,302,118,100,304,449,719,719,835,881,373,269,542
240,220,280,231,211,280,453,671,645,308,901,314,246,543
259,227,292,80,70,292,618,673,645,907,762,277,245,543
301,263,292,218,193,290,356,656,636,282,746,290,247,544
246,215,293,68,61,287,518,707,583,801,859,278,282,546
186,157,303,144,120,306,592,714,716,916,842,466,283,549
418,371,289,381,346,282,429,715,666,274,813,301,259,550
267,236,289,61,55,282,443,686,591,788,840,266,260,553
456,406,288,189,171,282,436,663,660,269,821,272,242,553
357,327,280,423,378,286,371,643,621,276,846,263,519,554
367,344,274,58,53,277,527,706,575,233,776,269,223,556
157,135,297,186,160,298,322,700,618,249,843,248,312,556
371,330,288,231,213,279,332,694,657,350,906,307,351,558
236,210,288,261,230,290,454,648,663,253,907,297,329,559
340,292,298,413,366,289,502,654,632,264,823,300,248,563
223,181,316,309,268,295,299,704,625,253,842,338,288,571
374,335,286,71,64,285,623,662,584,802,809,344,403,572
340,301,289,234,205,293,496,713,683,258,898,291,270,575
142,121,301,273,230,304,424,616,637,315,918,296,303,577
272,234,297,309,276,287,361,649,612,296,816,265,396,579
307,267,294,262,237,283,296,650,635,260,810,288,306,579
184,152,309,236,209,289,355,644,619,283,758,225,276,581
350,308,291,275,251,280,347,691,676,249,867,305,259,583
290,251,295,343,294,298,363,695,610,283,877,324,317,583
351,310,290,354,314,288,418,703,651,375,848,319,267,585
256,202,325,275,232,303,441,677,658,281,855,301,243,590
260,236,282,181,167,279,387,587,599,293,847,242,343,590
328,287,293,310,274,290,436,666,636,326,912,311,248,591
336,296,290,193,177,280,290,685,657,254,795,245,248,592
539,456,302,125,110,289,436,724,713,768,933,369,284,592
304,259,300,277,240,295,502,685,691,253,902,358,251,593
231,198,299,247,210,302,445,671,684,260,907,274,328,593
360,325,284,362,330,281,352,639,638,298,908,341,232,595
248,226,282,60,51,302,566,653,626,863,744,310,252,597
292,254,295,301,264,293,419,660,688,407,825,274,234,597
309,279,284,142,129,282,257,700,607,236,803,279,249,598
341,283,309,71,64,284,477,661,679,666,848,280,244,599
373,317,301,194,172,290,265,616,639,341,918,762,690,602
242,210,295,451,391,296,378,682,665,241,862,309,225,602
323,294,281,356,324,281,346,637,610,301,803,307,478,605
346,293,302,68,60,290,586,745,705,879,780,303,293,605
283,252,288,274,246,285,430,645,687,264,898,331,328,607
375,331,290,85,79,276,250,671,659,368,822,264,688,607
327,284,294,259,227,292,416,690,631,285,861,298,313,609
288,252,292,95,82,297,393,717,718,836,859,294,280,612
222,176,323,311,264,301,473,667,550,237,881,327,372,614
355,293,311,114,96,304,392,692,683,779,860,262,230,615
234,189,317,312,267,300,475,673,624,236,918,360,270,615
297,266,287,57,52,279,279,672,596,424,866,288,795,621
283,251,289,74,66,284,214,705,641,748,823,235,589,628
269,231,297,107,94,293,578,699,710,852,796,353,337,628
262,233,287,235,206,293,507,634,613,262,912,344,307,629
335,287,299,116,103,290,518,716,689,890,841,421,281,631
274,236,298,318,273,298,363,689,639,241,878,307,271,632
280,249,288,53,47,289,466,727,646,785,806,238,494,633
295,256,294,299,268,286,342,711,671,282,820,262,250,634
370,327,289,95,86,283,243,674,635,469,845,287,836,635
325,283,293,304,268,290,404,694,633,260,817,266,268,637
269,229,301,116,97,307,503,723,710,942,907,379,306,639
250,222,289,223,212,270,343,598,556,288,799,301,372,640
311,261,305,267,227,301,453,714,670,312,875,320,265,644
195,167,298,314,252,319,414,700,560,271,832,314,427,646
270,230,301,358,309,297,383,674,640,304,857,302,380,646
275,230,306,333,281,303,418,650,653,286,845,333,302,649
368,326,290,275,246,286,281,702,663,368,831,353,266,653
288,261,282,366,324,289,370,667,612,270,793,294,483,656
331,290,293,403,352,292,370,656,605,303,837,302,524,656
414,337,315,425,359,303,420,646,694,277,941,382,274,657
324,285,292,267,235,292,372,693,630,311,816,292,538,663
227,204,285,323,282,293,366,627,611,277,795,294,541,664
315,285,283,311,277,288,284,681,622,279,844,306,320,664
290,254,293,255,232,282,495,641,651,246,902,244,262,665
321,272,301,359,314,292,355,652,646,276,814,292,335,666
237,198,305,391,326,307,466,654,656,255,862,325,311,666
209,178,300,283,243,299,405,693,650,271,801,255,280,667
300,244,314,246,213,295,328,704,656,273,835,235,293,668
313,269,298,133,119,285,420,731,684,286,825,233,226,668
273,236,295,73,64,294,375,720,671,696,952,305,302,669
222,197,289,184,167,282,301,697,583,311,841,299,275,671
246,195,324,284,250,291,311,657,595,280,839,288,343,675
232,204,291,280,250,287,389,611,682,245,787,268,242,676
236,207,292,313,264,303,398,675,658,274,859,266,422,677
340,287,303,142,128,286,476,689,693,270,855,304,306,679
165,128,330,128,107,306,522,769,625,874,912,245,248,684
305,270,289,395,344,293,351,724,642,275,875,253,262,684
182,158,295,61,54,289,500,621,587,735,768,258,224,687
151,133,292,134,115,299,592,737,679,890,827,357,320,687
340,306,285,81,70,298,585,740,652,786,873,350,238,688
199,168,304,303,267,290,306,624,659,289,842,314,474,692
359,322,285,273,252,277,260,610,611,328,800,300,622,694
299,264,290,281,252,285,419,633,652,274,873,255,347,695
243,211,295,305,264,295,411,699,579,229,889,256,288,695
238,198,307,223,187,306,337,675,617,257,806,241,268,699
184,157,300,88,80,282,503,704,634,788,869,303,237,702
331,290,291,362,317,292,356,671,641,267,835,299,306,705
462,426,278,256,241,271,368,641,679,241,868,315,290,708
392,346,290,338,303,285,318,674,664,291,859,345,319,712
226,204,284,253,224,290,349,704,652,234,806,266,250,712
298,254,301,410,370,283,513,632,646,271,869,292,278,716
182,144,324,370,289,328,499,668,649,236,858,291,236,716
171,132,332,196,156,321,548,722,711,923,829,294,227,718
424,361,301,125,111,287,491,707,715,890,816,368,298,719
299,268,286,326,273,306,360,693,634,256,815,286,383,721
266,245,279,137,124,284,408,708,725,775,863,323,641,723
282,231,312,137,115,304,463,754,657,802,854,299,256,734
