"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD11c","Comp-APC-Cy7-A :: CD452","Comp-AmCyan-A :: L_D","Comp-BV711-A :: MHCII","Comp-PE-A :: CD11b","Comp-PE-Cy7-A :: Ly6G","Comp-Pacific Blue-A :: Ly6C","Time"
278,231,307,237,211,287,310,706,631,269,877,357,249,1
226,178,325,424,353,308,454,653,708,288,888,351,290,3
216,175,316,325,287,290,456,658,680,251,775,266,260,8
160,138,298,244,196,318,330,609,668,274,888,278,255,9
324,289,287,81,72,286,561,699,628,787,851,319,245,11
340,290,300,294,258,291,421,677,669,510,813,283,281,11
239,207,296,72,63,291,582,641,569,930,743,220,296,12
189,157,307,341,298,293,303,678,621,255,777,239,334,13
306,265,296,308,275,287,358,627,574,335,836,334,609,13
219,189,297,301,261,296,354,609,585,293,766,305,428,15
293,232,324,144,125,295,547,704,657,694,872,312,255,16
310,263,301,271,253,274,420,659,666,227,858,304,262,16
315,216,373,320,264,310,461,664,659,275,844,337,249,17
265,235,289,205,188,279,373,658,672,269,877,315,354,20
288,261,283,344,310,284,374,639,640,318,774,265,580,22
278,226,315,262,230,292,427,679,655,288,823,302,262,25
331,282,301,444,398,285,461,669,645,271,811,285,261,26
354,321,282,70,62,287,367,699,615,886,838,304,334,27
290,241,307,233,200,299,448,694,648,248,877,271,263,30
274,236,297,228,199,293,417,709,640,250,841,242,345,32
113,87,335,232,185,321,454,614,651,276,862,356,305,33
282,242,299,340,293,297,422,674,535,324,873,376,516,35
298,268,285,360,311,296,509,658,704,274,901,304,270,36
299,263,291,377,335,288,434,640,665,325,833,426,527,36
364,323,288,279,252,284,381,653,651,307,913,302,450,39
392,344,292,401,345,298,462,693,678,279,846,315,262,39
269,226,305,401,332,309,416,685,647,280,821,316,590,40
228,211,277,217,200,278,531,653,611,223,855,245,282,42
277,239,297,145,120,310,470,755,700,924,946,337,252,48
263,226,298,428,359,305,425,636,604,301,825,286,361,49
152,126,308,221,197,288,559,611,656,256,914,327,261,51
272,233,299,202,177,291,451,662,647,240,838,276,350,54
312,264,302,376,322,299,417,637,632,291,792,238,455,56
382,337,290,290,252,295,491,679,656,236,903,291,255,58
348,299,298,300,269,285,390,692,618,242,762,346,252,58
193,164,301,326,280,298,366,662,616,265,890,264,532,59
239,208,294,301,265,291,429,646,629,260,837,259,444,59
267,222,307,413,336,314,430,668,684,290,828,279,470,60
270,237,291,103,90,292,618,596,630,789,767,325,224,60
345,300,295,292,254,294,407,652,652,254,813,314,240,63
226,186,310,430,348,317,535,720,666,293,888,267,350,63
135,97,357,291,240,311,427,608,644,257,838,293,265,66
392,350,286,248,227,280,452,623,669,293,915,305,326,66
243,210,296,356,311,292,411,651,602,271,874,260,355,68
262,229,292,318,284,286,323,638,596,282,819,268,468,68
255,231,283,156,145,276,305,604,553,238,763,262,244,71
236,198,305,392,338,297,349,667,549,284,806,292,567,74
263,210,320,240,204,301,596,701,721,951,867,382,280,75
436,376,297,108,93,296,515,715,701,867,858,360,618,75
101,83,315,111,91,312,458,688,627,838,824,305,257,76
222,196,290,274,236,297,397,696,607,245,783,237,338,76
164,130,322,170,140,313,564,699,722,887,807,343,254,78
282,235,307,106,88,306,530,725,678,931,895,349,254,79
294,260,289,218,202,277,381,646,574,265,815,276,427,79
187,150,320,228,193,302,430,656,592,265,794,257,270,80
320,269,304,405,347,299,448,659,597,277,827,293,521,81
360,304,303,388,338,294,509,683,682,270,869,332,255,81
246,212,296,333,288,296,416,698,655,280,816,290,292,83
169,150,288,306,259,302,473,673,643,265,859,267,261,84
215,184,299,287,246,298,448,654,599,256,863,253,268,84
279,234,304,153,135,290,553,614,678,839,733,324,244,85
234,213,282,73,62,298,591,698,585,777,874,221,272,86
206,178,295,307,267,295,488,649,674,241,866,315,262,89
164,142,296,60,50,307,497,662,611,831,816,232,239,89
309,266,297,70,64,281,498,659,695,855,737,256,188,91
346,286,310,147,129,291,540,673,703,803,793,336,250,94
290,243,305,412,356,296,466,713,651,288,867,319,260,96
282,229,316,162,134,310,491,699,715,869,851,376,251,100
225,180,319,326,286,292,354,668,670,306,822,282,587,105
