"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD11c","Comp-APC-Cy7-A :: CD452","Comp-AmCyan-A :: L_D","Comp-BV711-A :: MHCII","Comp-PE-A :: CD11b","Comp-PE-Cy7-A :: Ly6G","Comp-Pacific Blue-A :: Ly6C","Time"
280,246,292,138,122,289,474,704,628,542,837,306,765,113
225,205,280,100,88,290,305,664,669,501,878,279,803,144
247,211,299,80,69,298,277,659,610,492,834,288,860,169
333,287,298,119,106,288,246,634,662,486,860,340,849,274
260,234,285,91,82,284,320,645,603,450,838,287,790,276
300,264,291,78,69,289,236,692,634,480,869,342,850,367
294,250,301,79,71,284,238,648,567,464,844,340,840,414
307,282,279,89,78,292,276,633,675,462,762,267,833,520
313,274,292,95,83,293,424,690,591,781,773,227,791,582
303,265,293,78,73,274,267,671,624,704,822,299,699,730
333,288,297,103,89,298,257,680,616,543,835,274,824,742
364,320,291,82,73,287,237,652,677,469,813,279,834,792
