"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD11c","Comp-APC-Cy7-A :: CD452","Comp-AmCyan-A :: L_D","Comp-BV711-A :: MHCII","Comp-PE-A :: CD11b","Comp-PE-Cy7-A :: Ly6G","Comp-Pacific Blue-A :: Ly6C","Time"
297,251,304,85,74,293,634,705,653,863,769,321,275,5
206,176,299,203,173,300,577,654,711,927,767,398,301,8
314,292,275,142,115,318,660,780,674,845,921,326,299,131
268,239,287,91,78,299,655,702,649,832,851,205,206,139
110,86,327,187,149,320,566,749,695,962,826,425,144,190
351,311,289,77,69,288,598,770,656,811,863,200,285,227
320,282,291,88,74,305,594,736,690,871,849,314,327,363
166,136,312,103,88,298,586,657,560,841,788,272,273,365
238,211,288,78,71,284,602,687,611,865,826,333,217,453
259,221,300,95,79,306,576,767,610,849,854,262,239,524
107,92,297,116,97,307,594,631,554,795,782,247,245,562
214,170,322,130,94,354,568,697,676,952,801,175,245,589
324,283,294,98,87,289,650,694,648,819,786,262,279,608
264,211,320,130,106,316,600,745,705,945,894,397,364,715
199,178,286,55,50,278,579,699,498,816,810,210,239,718
307,259,303,114,98,299,672,783,703,823,897,371,236,734
271,230,302,133,112,303,745,734,692,868,856,232,192,744
122,101,309,109,91,306,618,711,598,870,802,186,183,766
300,253,304,114,103,281,551,704,686,880,810,350,252,775
409,366,286,118,104,290,680,702,654,818,849,346,254,798
263,204,330,91,67,345,643,723,619,852,849,197,218,808
191,159,308,148,120,315,668,771,609,869,820,225,270,865
280,230,312,158,138,293,580,691,715,912,822,353,251,898
315,274,295,81,74,279,595,655,530,747,853,247,245,911
198,180,283,159,128,317,558,704,698,921,783,304,226,963
361,306,302,86,76,290,660,714,673,850,779,271,241,999
