"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD11c","Comp-APC-Cy7-A :: CD452","Comp-AmCyan-A :: L_D","Comp-BV711-A :: MHCII","Comp-PE-A :: CD11b","Comp-PE-Cy7-A :: Ly6G","Comp-Pacific Blue-A :: Ly6C","Time"
144,109,337,204,167,313,357,644,663,313,936,754,660,34
342,307,285,148,133,285,514,648,590,333,921,748,685,42
296,238,318,139,120,296,567,696,661,336,962,763,700,69
454,412,282,173,159,278,288,615,645,336,925,808,677,131
266,230,296,118,106,286,568,633,673,291,922,711,631,132
286,260,282,71,66,276,482,599,550,261,796,697,593,134
141,125,290,113,92,315,520,720,695,281,961,779,676,138
307,281,280,240,210,293,383,654,700,370,917,810,716,157
214,176,312,325,278,299,441,665,705,304,943,805,674,165
331,297,286,114,101,288,406,667,630,295,943,794,698,167
256,235,278,124,110,288,333,629,620,321,928,826,682,171
287,234,313,251,212,303,291,626,686,331,939,773,705,203
154,122,323,182,150,309,524,660,647,327,936,792,666,249
201,172,298,166,140,303,370,643,708,362,966,758,669,251
246,210,300,221,183,308,347,609,691,375,956,745,700,254
169,156,277,135,119,291,308,581,601,298,913,753,675,268
165,137,307,114,101,290,560,683,654,274,908,725,619,310
319,280,292,238,204,299,324,642,713,315,924,830,681,325
343,304,289,149,132,288,459,635,631,357,953,765,713,333
406,331,314,213,172,316,281,610,646,322,920,758,699,336
292,251,298,159,144,282,310,690,691,356,962,808,716,353
193,176,280,154,137,288,316,652,599,290,908,778,662,363
269,254,271,282,249,290,335,628,646,358,940,763,684,372
134,118,291,173,151,293,392,636,573,320,914,673,608,383
233,199,300,142,123,296,247,641,665,325,940,773,703,392
276,230,307,220,184,305,419,633,685,304,971,798,673,403
210,193,279,104,90,295,253,638,618,334,962,787,689,410
162,138,302,194,167,297,303,609,677,319,927,791,642,416
167,149,287,201,174,295,545,694,638,316,918,749,645,429
139,122,292,181,146,317,341,649,685,373,969,768,705,441
195,153,327,192,167,294,280,651,690,332,957,763,689,448
278,233,306,169,150,290,416,646,691,331,952,712,687,456
258,212,312,218,192,289,310,599,640,308,918,764,653,515
250,220,291,132,120,283,481,676,687,305,894,701,591,534
333,283,301,257,223,295,320,627,682,281,881,764,633,557
135,109,316,194,167,299,448,675,628,321,942,669,671,559
206,178,295,220,186,303,405,620,631,328,896,776,671,574
270,221,313,188,162,298,362,621,669,356,903,782,632,579
247,177,357,207,175,304,440,644,706,296,938,794,689,582
281,240,300,241,216,286,306,610,603,279,946,789,657,583
185,167,284,141,122,296,295,615,625,252,961,755,657,586
148,138,275,109,98,283,490,608,503,297,912,764,640,589
195,116,430,264,198,342,335,632,691,340,938,754,651,592
234,197,304,278,237,300,248,610,622,315,926,771,672,595
352,300,301,210,186,288,562,631,699,352,941,778,706,597
217,176,316,192,162,302,496,659,714,345,948,720,712,601
241,215,287,199,170,300,462,684,719,242,948,711,646,609
207,171,310,157,134,300,288,715,630,324,903,746,635,681
254,207,315,165,146,289,420,666,698,341,948,766,718,686
169,152,285,220,192,294,321,641,661,405,969,765,740,688
148,133,285,145,116,320,497,660,665,405,945,763,754,696
173,152,292,149,119,321,233,652,619,362,954,801,708,711
189,165,293,161,135,304,340,674,636,314,938,776,699,713
285,238,307,181,160,289,227,631,685,299,901,728,664,738
315,279,289,254,224,290,268,649,644,373,962,789,734,750
220,186,304,174,147,302,318,636,676,364,953,753,678,809
209,182,294,193,168,293,355,632,641,359,933,729,667,809
257,213,310,209,180,297,320,638,691,362,962,817,701,827
245,224,281,286,244,300,325,638,630,333,949,805,679,843
290,250,297,98,84,300,335,652,706,376,951,696,741,866
244,217,287,181,155,299,442,639,686,335,925,758,676,886
285,222,329,120,93,329,399,653,701,488,925,687,646,937
161,142,289,164,140,300,574,718,671,356,940,765,689,1002
190,162,300,258,227,291,378,669,721,312,918,729,678,1004
279,258,277,186,169,283,250,631,661,302,923,758,641,1004
191,152,320,203,178,292,503,697,719,339,950,787,710,1008
191,166,296,193,170,291,332,603,633,322,925,723,682,1014
278,219,325,247,217,292,302,657,701,326,922,724,687,1021
174,131,339,162,139,298,600,704,676,307,954,705,663,1023
