experiment,day,mouse,tx,cdiffstrain,absweight,relweight,diarrhea,cdiffcfu,death
ks52,0,1,4mnvc,st1.2,20.1,100,0,0,0
ks52,0,2,4mnvc,st1.2,19.1,100,0,0,0
ks52,0,3,4mnvc,st1.2,20.9,100,0,0,0
ks52,0,4,4mnvc,st1.2.vpi,17.5,100,0,0,0
ks52,0,5,4mnvc,st1.2.vpi,19.7,100,0,0,0
ks52,0,6,4mnvc,st1.2.vpi,19,100,0,0,0
ks52,0,7,4mnvc,st1.11,17.4,100,0,0,0
ks52,0,8,4mnvc,st1.11,20.1,100,0,0,0
ks52,0,9,4mnvc,st1.11,18,100,0,0,0
ks52,0,10,4mnvc,st1.11.vpi,18.4,100,0,0,0
ks52,0,11,4mnvc,st1.11.vpi,15.9,100,0,0,0
ks52,0,12,4mnvc,st1.11.vpi,19.3,100,0,0,0
ks52,0,13,4mnvc,st1.65,18.9,100,0,0,0
ks52,0,14,4mnvc,st1.65,20.8,100,0,0,0
ks52,0,15,4mnvc,st1.65,20,100,0,0,0
ks52,0,16,4mnvc,st1.65.vpi,18.7,100,0,0,0
ks52,0,17,4mnvc,st1.65.vpi,19,100,0,0,0
ks52,0,18,4mnvc,st1.65.vpi,18.6,100,0,0,0
ks52,0,19,4mnvc,st1.68,19.7,100,0,0,0
ks52,0,20,4mnvc,st1.68,21.2,100,0,0,0
ks52,0,21,4mnvc,st1.68,18.7,100,0,0,0
ks52,0,22,4mnvc,st1.68.vpi,18.4,100,0,0,0
ks52,0,23,4mnvc,st1.68.vpi,19.8,100,0,0,0
ks52,0,24,4mnvc,st1.68.vpi,20.1,100,0,0,0
ks52,0,25,4mnvc,st1.75.vpi,19.9,100,0,0,0
ks52,0,26,4mnvc,st1.75.vpi,17.5,100,0,0,0
ks52,0,27,4mnvc,st1.75.vpi,17,100,0,0,0
ks52,0,28,4mnvc,vpi,18.4,100,0,0,0
ks52,0,29,4mnvc,vpi,20,100,0,0,0
ks52,0,30,4mnvc,vpi,21,100,0,0,0
ks52,0,31,4mnvc,vpi,18.7,100,0,0,0
ks52,0,32,4mnvc,ui,18.2,100,0,0,0
ks52,1,1,4mnvc,st1.2,20.3,100.9950249,0,85937500,0
ks52,1,2,4mnvc,st1.2,19.3,101.0471204,0,25961538.46,0
ks52,1,3,4mnvc,st1.2,20.6,98.5645933,0,60204081.63,0
ks52,1,4,4mnvc,st1.2.vpi,18.6,106.2857143,0,224576271.2,0
ks52,1,5,4mnvc,st1.2.vpi,20.2,102.5380711,0,35000000,0
ks52,1,6,4mnvc,st1.2.vpi,18.9,99.47368421,0,474576.2712,0
ks52,1,7,4mnvc,st1.11,17.7,101.7241379,0,580645.1613,0
ks52,1,8,4mnvc,st1.11,18.4,91.54228856,0,425000,0
ks52,1,9,4mnvc,st1.11,18.4,102.2222222,0,5732758.621,0
ks52,1,10,4mnvc,st1.11.vpi,18.9,102.7173913,0,87857142.86,0
ks52,1,11,4mnvc,st1.11.vpi,15.8,99.37106918,0,0,0
ks52,1,12,4mnvc,st1.11.vpi,19.1,98.96373057,0,175000000,0
ks52,1,13,4mnvc,st1.65,18.3,96.82539683,0,144736842.1,0
ks52,1,14,4mnvc,st1.65,21.1,101.4423077,0,96491228.07,0
ks52,1,15,4mnvc,st1.65,21.3,106.5,0,33823529.41,0
ks52,1,16,4mnvc,st1.65.vpi,20,106.9518717,0,79444444.44,0
ks52,1,17,4mnvc,st1.65.vpi,20,105.2631579,0,9677419.355,0
ks52,1,18,4mnvc,st1.65.vpi,18.6,100,0,58333333.33,0
ks52,1,19,4mnvc,st1.68,21,106.5989848,0,23913043.48,0
ks52,1,20,4mnvc,st1.68,21.5,101.4150943,0,56854.83871,0
ks52,1,21,4mnvc,st1.68,19.2,102.6737968,0,20312500,0
ks52,1,22,4mnvc,st1.68.vpi,18.1,98.36956522,0,15666666.67,0
ks52,1,23,4mnvc,st1.68.vpi,19.6,98.98989899,0,13000000,0
ks52,1,24,4mnvc,st1.68.vpi,18.8,93.53233831,0,2000,0
ks52,1,25,4mnvc,st1.75.vpi,20.2,101.5075377,0,44696969.7,0
ks52,1,26,4mnvc,st1.75.vpi,17.5,100,0,200000,0
ks52,1,27,4mnvc,st1.75.vpi,18,105.8823529,0,98360655.74,0
ks52,1,28,4mnvc,vpi,17,92.39130435,0,0,0
ks52,1,29,4mnvc,vpi,20.2,101,0,292452.8302,0
ks52,1,30,4mnvc,vpi,21.1,100.4761905,0,375000,0
ks52,1,31,4mnvc,vpi,18.4,98.39572193,0,2272.727273,0
ks52,1,32,4mnvc,ui,18.9,103.8461538,0,0,0
ks52,2,1,4mnvc,st1.2,15.9,79.10447761,1,,0
ks52,2,2,4mnvc,st1.2,17.1,89.52879581,1,,0
ks52,2,3,4mnvc,st1.2,16.8,80.38277512,1,,0
ks52,2,4,4mnvc,st1.2.vpi,14.2,81.14285714,1,,0
ks52,2,5,4mnvc,st1.2.vpi,18.2,92.3857868,1,,0
ks52,2,6,4mnvc,st1.2.vpi,15.9,83.68421053,1,,0
ks52,2,7,4mnvc,st1.11,15.8,90.8045977,1,,0
ks52,2,8,4mnvc,st1.11,18.3,91.04477612,0,,0
ks52,2,9,4mnvc,st1.11,18.4,102.2222222,0,,0
ks52,2,10,4mnvc,st1.11.vpi,18.5,100.5434783,0,,0
ks52,2,11,4mnvc,st1.11.vpi,16,100.6289308,0,,0
ks52,2,12,4mnvc,st1.11.vpi,15.9,82.38341969,1,,0
ks52,2,13,4mnvc,st1.65,16.4,86.77248677,1,,0
ks52,2,14,4mnvc,st1.65,17.8,85.57692308,1,,0
ks52,2,15,4mnvc,st1.65,20,100,0,,0
ks52,2,16,4mnvc,st1.65.vpi,17.9,95.72192513,0,,0
ks52,2,17,4mnvc,st1.65.vpi,17.4,91.57894737,1,,0
ks52,2,18,4mnvc,st1.65.vpi,16.9,90.86021505,0,,0
ks52,2,19,4mnvc,st1.68,20.5,104.0609137,0,,0
ks52,2,20,4mnvc,st1.68,21.4,100.9433962,0,,0
ks52,2,21,4mnvc,st1.68,19,101.6042781,0,,0
ks52,2,22,4mnvc,st1.68.vpi,15.4,83.69565217,1,,0
ks52,2,23,4mnvc,st1.68.vpi,16.5,83.33333333,1,,0
ks52,2,24,4mnvc,st1.68.vpi,18.3,91.04477612,1,,0
ks52,2,25,4mnvc,st1.75.vpi,19.6,98.49246231,0,,0
ks52,2,26,4mnvc,st1.75.vpi,18,102.8571429,0,,0
ks52,2,27,4mnvc,st1.75.vpi,17.7,104.1176471,0,,0
ks52,2,28,4mnvc,vpi,18.3,99.45652174,0,,0
ks52,2,29,4mnvc,vpi,17,85,1,,0
ks52,2,30,4mnvc,vpi,18.6,88.57142857,1,,0
ks52,2,31,4mnvc,vpi,17.1,91.44385027,1,,0
ks52,2,32,4mnvc,ui,19.3,106.043956,0,,0
ks52,3,1,4mnvc,st1.2,17.2,85.5721393,1,,0
ks52,3,2,4mnvc,st1.2,16.1,84.29319372,1,,0
ks52,3,3,4mnvc,st1.2,15.6,74.64114833,1,,0
ks52,3,4,4mnvc,st1.2.vpi,16.3,93.14285714,1,,0
ks52,3,5,4mnvc,st1.2.vpi,17.1,86.80203046,1,,0
ks52,3,6,4mnvc,st1.2.vpi,15.2,80,1,,0
ks52,3,7,4mnvc,st1.11,16.4,94.25287356,1,,0
ks52,3,8,4mnvc,st1.11,16.7,83.08457711,1,,0
ks52,3,9,4mnvc,st1.11,16.2,90,1,,0
ks52,3,10,4mnvc,st1.11.vpi,16.6,90.2173913,1,,0
ks52,3,11,4mnvc,st1.11.vpi,15.4,96.85534591,0,,0
ks52,3,12,4mnvc,st1.11.vpi,17.3,89.6373057,1,,0
ks52,3,13,4mnvc,st1.65,14.8,78.30687831,1,,0
ks52,3,14,4mnvc,st1.65,18.2,87.5,1,,0
ks52,3,15,4mnvc,st1.65,18.3,91.5,1,,0
ks52,3,16,4mnvc,st1.65.vpi,16.8,89.83957219,1,,0
ks52,3,17,4mnvc,st1.65.vpi,16.9,88.94736842,1,,0
ks52,3,18,4mnvc,st1.65.vpi,16.3,87.6344086,1,,0
ks52,3,19,4mnvc,st1.68,20.7,105.0761421,0,,0
ks52,3,20,4mnvc,st1.68,21.6,101.8867925,0,,0
ks52,3,21,4mnvc,st1.68,16.5,88.23529412,1,,0
ks52,3,22,4mnvc,st1.68.vpi,16.3,88.58695652,1,,0
ks52,3,23,4mnvc,st1.68.vpi,,,,,1
ks52,3,24,4mnvc,st1.68.vpi,16.2,80.59701493,1,,0
ks52,3,25,4mnvc,st1.75.vpi,20.3,102.0100503,0,,0
ks52,3,26,4mnvc,st1.75.vpi,18.5,105.7142857,0,,0
ks52,3,27,4mnvc,st1.75.vpi,18.3,107.6470588,0,,0
ks52,3,28,4mnvc,vpi,16.3,88.58695652,1,,0
ks52,3,29,4mnvc,vpi,17.6,88,1,,0
ks52,3,30,4mnvc,vpi,,,,,1
ks52,3,31,4mnvc,vpi,14.9,79.67914439,1,,0
ks52,3,32,4mnvc,ui,19,104.3956044,0,,0
ks52,4,1,4mnvc,st1.2,18.7,93.03482587,1,,0
ks52,4,2,4mnvc,st1.2,16.1,84.29319372,1,,0
ks52,4,3,4mnvc,st1.2,15.7,75.11961722,1,,0
ks52,4,4,4mnvc,st1.2.vpi,16.6,94.85714286,1,,0
ks52,4,5,4mnvc,st1.2.vpi,16.5,83.75634518,1,,0
ks52,4,6,4mnvc,st1.2.vpi,15.7,82.63157895,1,,0
ks52,4,7,4mnvc,st1.11,15.3,87.93103448,1,,0
ks52,4,8,4mnvc,st1.11,17.3,86.06965174,1,,0
ks52,4,9,4mnvc,st1.11,15.9,88.33333333,1,,0
ks52,4,10,4mnvc,st1.11.vpi,14.8,80.43478261,1,,0
ks52,4,11,4mnvc,st1.11.vpi,14.1,88.67924528,1,,0
ks52,4,12,4mnvc,st1.11.vpi,17.3,89.6373057,1,,0
ks52,4,13,4mnvc,st1.65,14.8,78.30687831,1,,0
ks52,4,14,4mnvc,st1.65,18.7,89.90384615,1,,0
ks52,4,15,4mnvc,st1.65,18.8,94,1,,0
ks52,4,16,4mnvc,st1.65.vpi,16.5,88.23529412,1,,0
ks52,4,17,4mnvc,st1.65.vpi,17.5,92.10526316,1,,0
ks52,4,18,4mnvc,st1.65.vpi,16.8,90.32258065,1,,0
ks52,4,19,4mnvc,st1.68,19.9,101.0152284,0,,0
ks52,4,20,4mnvc,st1.68,21.1,99.52830189,0,,0
ks52,4,21,4mnvc,st1.68,17.6,94.11764706,1,,0
ks52,4,22,4mnvc,st1.68.vpi,17.2,93.47826087,1,,0
ks52,4,24,4mnvc,st1.68.vpi,15.8,78.60696517,1,,0
ks52,4,25,4mnvc,st1.75.vpi,20.7,104.0201005,0,,0
ks52,4,26,4mnvc,st1.75.vpi,18.5,105.7142857,0,,0
ks52,4,27,4mnvc,st1.75.vpi,18,105.8823529,0,,0
ks52,4,28,4mnvc,vpi,,,,,1
ks52,4,29,4mnvc,vpi,16.9,84.5,1,,0
ks52,4,31,4mnvc,vpi,,,,,1
ks52,4,32,4mnvc,ui,18.4,101.0989011,0,,0
ks52,5,1,4mnvc,st1.2,18.4,91.54228856,1,,0
ks52,5,2,4mnvc,st1.2,16.3,85.34031414,1,,0
ks52,5,3,4mnvc,st1.2,15.2,72.72727273,1,,0
ks52,5,4,4mnvc,st1.2.vpi,16.8,96,1,,0
ks52,5,5,4mnvc,st1.2.vpi,16.6,84.26395939,1,,0
ks52,5,6,4mnvc,st1.2.vpi,,,,,1
ks52,5,7,4mnvc,st1.11,15.2,87.35632184,1,,0
ks52,5,8,4mnvc,st1.11,17.1,85.07462687,1,,0
ks52,5,9,4mnvc,st1.11,16,88.88888889,1,,0
ks52,5,10,4mnvc,st1.11.vpi,14.1,76.63043478,1,,0
ks52,5,11,4mnvc,st1.11.vpi,14.8,93.08176101,1,,0
ks52,5,12,4mnvc,st1.11.vpi,16.1,83.41968912,1,,0
ks52,5,13,4mnvc,st1.65,14.5,76.71957672,1,,0
