experiment,day,mouse,tx,cdiffstrain,absweight,relweight,diarrhea,cdiffcfu,death
ks4,0,1,mnvc,ui,18.7,100,0,0,0
ks4,0,2,mnvc,ui,14,100,0,0,0
ks4,0,3,mnvc,st1.75,18.6,100,0,0,0
ks4,0,4,mnvc,st1.75,16.2,100,0,0,0
ks4,0,5,mnvc,st1.75,18.6,100,0,0,0
ks4,0,6,mnvc,st1.75,16.7,100,0,0,0
ks4,0,7,mnvc,st1.75,18,100,0,0,0
ks4,0,8,mnvc,st1.12,19.2,100,0,0,0
ks4,0,9,mnvc,st1.12,16.4,100,0,0,0
ks4,0,10,mnvc,st1.12,16.7,100,0,0,0
ks4,0,11,mnvc,st1.12,17.9,100,0,0,0
ks4,0,12,mnvc,st1.12,18.7,100,0,0,0
ks4,0,13,none,ui,18.2,100,0,0,0
ks4,0,14,none,ui,20.4,100,0,0,0
ks4,0,15,none,ui,17.8,100,0,0,0
ks4,0,16,none,st1.75,20.2,100,0,0,0
ks4,0,17,none,st1.75,19.4,100,0,0,0
ks4,0,18,none,st1.75,18.2,100,0,0,0
ks4,0,19,none,st1.75,19.9,100,0,0,0
ks4,0,20,none,st1.75,14.6,100,0,0,0
ks4,0,21,none,st1.12,16.3,100,0,0,0
ks4,0,22,none,st1.12,20,100,0,0,0
ks4,0,23,none,st1.12,17.7,100,0,0,0
ks4,0,24,none,st1.12,18.1,100,0,0,0
ks4,0,25,none,st1.12,20.1,100,0,0,0
ks4,1,1,mnvc,ui,19,101.6042781,0,0,0
ks4,1,2,mnvc,ui,14.7,105,0,0,0
ks4,1,3,mnvc,st1.75,18,96.77419355,0,14814814.81,0
ks4,1,4,mnvc,st1.75,17.2,106.1728395,0,47058823.53,0
ks4,1,5,mnvc,st1.75,20,107.5268817,0,1194444.444,0
ks4,1,6,mnvc,st1.75,17.9,107.1856287,0,52941176.47,0
ks4,1,7,mnvc,st1.75,17.9,99.44444444,0,6166666.667,0
ks4,1,8,mnvc,st1.12,20.2,105.2083333,0,23076923.08,0
ks4,1,9,mnvc,st1.12,17,103.6585366,0,37804878.05,0
ks4,1,10,mnvc,st1.12,16.8,100.5988024,0,50000000,0
ks4,1,11,mnvc,st1.12,19.6,109.4972067,0,0,0
ks4,1,12,mnvc,st1.12,18.8,100.5347594,0,0,0
ks4,1,13,none,ui,19,104.3956044,0,0,0
ks4,1,14,none,ui,21,102.9411765,0,0,0
ks4,1,15,none,ui,18.4,103.3707865,0,0,0
ks4,1,16,none,st1.75,20.6,101.980198,0,0,0
ks4,1,17,none,st1.75,19.9,102.5773196,0,0,0
ks4,1,18,none,st1.75,18.5,101.6483516,0,0,0
ks4,1,19,none,st1.75,21.3,107.0351759,0,0,0
ks4,1,20,none,st1.75,15.1,103.4246575,0,0,0
ks4,1,21,none,st1.12,16.3,100,0,0,0
ks4,1,22,none,st1.12,20,100,0,0,0
ks4,1,23,none,st1.12,17.7,100,0,0,0
ks4,1,24,none,st1.12,18.4,101.6574586,0,0,0
ks4,1,25,none,st1.12,20,99.50248756,0,0,0
ks4,2,1,mnvc,ui,20.7,110.6951872,0,NaN,0
ks4,2,2,mnvc,ui,15.2,108.5714286,0,NaN,0
ks4,2,3,mnvc,st1.75,18,96.77419355,0,NaN,0
ks4,2,4,mnvc,st1.75,17.8,109.8765432,0,NaN,0
ks4,2,5,mnvc,st1.75,20.6,110.7526882,0,NaN,0
ks4,2,6,mnvc,st1.75,17.4,104.1916168,0,NaN,0
ks4,2,7,mnvc,st1.75,18.3,101.6666667,0,NaN,0
ks4,2,8,mnvc,st1.12,17,88.54166667,1,NaN,0
ks4,2,9,mnvc,st1.12,15.3,93.29268293,1,NaN,0
ks4,2,10,mnvc,st1.12,15.6,93.41317365,1,NaN,0
ks4,2,11,mnvc,st1.12,17.1,95.53072626,1,NaN,0
ks4,2,12,mnvc,st1.12,17.3,92.51336898,1,NaN,0
ks4,2,13,none,ui,19.3,106.043956,0,NaN,0
ks4,2,14,none,ui,20.6,100.9803922,0,NaN,0
ks4,2,15,none,ui,18.3,102.8089888,0,NaN,0
